Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,0.049510,0.093070,0.049510,0.067850,0.067850,1963
2010-07-31,0.067850,0.076900,0.032110,0.060000,0.060000,14340
2010-08-31,0.060000,0.175000,0.057610,0.061900,0.061900,13418
2010-09-30,0.061900,0.199000,0.010000,0.192500,0.192500,117025
2010-11-01,0.192500,0.500000,0.125000,0.208200,0.208200,223540
2010-12-01,0.208200,0.301000,0.170100,0.300000,0.300000,63289
2011-01-01,0.300000,0.950000,0.289000,0.520000,0.520000,146771
2011-02-01,0.520000,1.100000,0.520100,0.860000,0.860000,329107
2011-03-01,0.860000,0.970000,0.710000,0.784600,0.784600,206983
2011-03-31,0.784600,4.150000,0.561900,3.500000,3.500000,1305026
2011-04-30,3.500000,9.500000,2.500000,8.740000,8.740000,6058698
2011-05-31,8.740000,31.910000,8.300000,16.100000,16.100000,25150304
2011-06-30,16.100000,16.740000,11.000000,13.350000,13.350000,14834453
2011-07-31,13.350000,13.550000,5.740000,8.200000,8.200000,11908317
2011-08-31,8.200000,8.710000,4.180000,5.140000,5.140000,8561430
2011-09-30,5.140000,5.250000,2.040000,3.250000,3.250000,5716631
2011-11-01,3.250000,3.440000,1.990000,2.970000,2.970000,5128882
2011-12-01,2.970000,5.000000,2.610000,4.720000,4.720000,6662047
2012-01-01,4.720000,7.220000,4.620000,5.480000,5.480000,19598832
2012-02-01,5.480000,6.200000,3.880000,4.860000,4.860000,14373012
2012-03-01,4.860000,5.450000,4.300000,4.910000,4.910000,8579862
2012-03-31,4.910000,5.480000,4.620000,4.950000,4.950000,8244845
2012-04-30,4.950000,5.200000,4.800000,5.180000,5.180000,6300308
2012-05-31,5.180000,6.800000,5.180000,6.690000,6.690000,8296620
2012-06-30,6.690000,9.700000,6.400000,9.350000,9.350000,15300178
2012-07-31,9.350000,15.400000,7.580000,10.160000,10.160000,26632966
2012-08-31,10.160000,12.690000,9.720000,12.400000,12.400000,11004793
2012-09-30,12.400000,13.090000,9.740000,11.200000,11.200000,13371947
2012-11-01,11.200000,12.650000,10.330000,12.570000,12.570000,9252550
2012-12-01,12.570000,13.900000,12.430000,13.510000,13.510000,11689062
2013-01-01,13.510000,21.430000,13.160000,20.410000,20.410000,23733155
2013-02-01,20.410000,34.520000,18.000000,33.380001,33.380001,41087388
2013-03-01,33.380001,95.699997,32.919998,93.029999,93.029999,123005256
2013-03-31,93.029999,266.000000,50.009998,139.229996,139.229996,544645777
2013-04-30,139.229996,140.059998,79.000000,128.820007,128.820007,233751764
2013-05-31,128.820007,130.100006,88.000000,97.510002,97.510002,112735944
2013-06-30,97.510002,111.650002,65.419998,106.209999,106.209999,100174821
2013-07-31,106.209999,148.699997,100.959999,141.000000,141.000000,71182028
2013-08-31,141.000000,148.910004,121.250000,141.899994,141.899994,61838242
2013-09-30,141.899994,233.380005,109.699997,211.169998,211.169998,126342505
2013-11-01,211.169998,1241.920044,209.710007,1205.660034,1205.660034,638615596
2013-12-01,1205.660034,1239.859985,454.859985,805.940002,805.940002,760733756
2014-01-01,805.940002,1093.439941,770.969971,938.849976,938.849976,286856399
2014-02-01,938.849976,969.190002,91.660004,573.940002,573.940002,341736594
